run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR16931960	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/060/SRR16931960/SRR16931960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/060/SRR16931960/SRR16931960_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/060/SRR16931960
SRR16931961	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/061/SRR16931961/SRR16931961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/061/SRR16931961/SRR16931961_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/061/SRR16931961
SRR16931969	SAMN23098194	SRX13124114	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/069/SRR16931969/SRR16931969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/069/SRR16931969/SRR16931969_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/069/SRR16931969
SRR16931970	SAMN23098194	SRX13124114	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/070/SRR16931970/SRR16931970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/070/SRR16931970/SRR16931970_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/070/SRR16931970
SRR16931974	SAMN23098194	SRX13124114	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/074/SRR16931974/SRR16931974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/074/SRR16931974/SRR16931974_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/074/SRR16931974
SRR16931976	SAMN23098195	SRX13124115	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/076/SRR16931976/SRR16931976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/076/SRR16931976/SRR16931976_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/076/SRR16931976
SRR16931983	SAMN23098196	SRX13124116	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/083/SRR16931983/SRR16931983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/083/SRR16931983/SRR16931983_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/083/SRR16931983
SRR16931992	SAMN23098198	SRX13124118	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/092/SRR16931992/SRR16931992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/092/SRR16931992/SRR16931992_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/092/SRR16931992
SRR16931966	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/066/SRR16931966/SRR16931966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/066/SRR16931966/SRR16931966_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/066/SRR16931966
SRR16931967	SAMN23098192	SRX13124113	PRJNA779978	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/067/SRR16931967/SRR16931967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/067/SRR16931967/SRR16931967_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR169/067/SRR16931967
